,Word,Levenshtein,Soundex,Metaphone
1789,yey,ye,ye,ye
1790,doromavins,NA,NA,NA
1791,donjazy,NA,NA,NA
1792,korede,korea,NA,gored
1793,belo,below,below,below
1794,sirkenayo,NA,NA,NA
1795,masih,mash,mash,mas
1796,imut,smut,inuit,NA
1797,thi,thai,thai,thai
1798,wo,woo,woo,woo
1799,jo,job,joy,joy
1800,sharef,share,scarf,NA
1801,khench,bench,NA,NA
1802,layi,lay,lay,NA
1803,futur,fur,future,future
1804,whithout,without,without,without
1805,idr,id,NA,NA
1806,smlxl,small,NA,NA
1807,kuys,keys,keys,keys
1808,alam,alarm,alum,alum
1809,naks,nabs,nags,nags
1810,talor,tailor,tailor,tailor
1811,july,july,july,july
1812,burton,button,breton,breton
1813,walsal,wall,NA,NA
1814,crewe,crewed,crew,NA
1815,rancho,ranch,ranch,ranch
1816,cucamonga,NA,NA,NA
1817,victorvile,NA,NA,NA
1818,dbhdjdn,NA,NA,NA
1819,audi,audio,audio,audio
1820,jorg,jog,jars,jerk
1821,dietzel,diesel,NA,NA
1822,hearted,heated,NA,NA
1823,choi,choir,chow,chow
1824,qpr,dr,NA,NA
1825,heathrow,NA,NA,NA
1826,kagome,salome,NA,NA
1827,inuyasha,NA,NA,NA
1828,tgk,tack,tack,NA
1829,korey,korea,korea,korea
1830,troyer,trooper,trier,dryer
1831,bantal,banal,NA,NA
1832,busuk,busk,buses,busk
1833,elia,glia,ell,ell
1834,perpustakan,NA,NA,NA
1835,negara,niagara,niagara,niagara
1836,scratchin,scratching,scratching,NA
1837,dtfl,deal,NA,NA
1838,bonaro,bolero,binary,binary
1839,seungyon,NA,NA,NA
1840,tablo,table,table,table
1841,hahaha,haha,haha,NA
1842,mayweather,NA,NA,NA
1843,hoein,hoeing,hen,hen
1844,nem,ne,NA,NA
1845,zouis,louis,NA,NA
1846,scoby,scabby,scabby,scabby
1847,do,do,do,do
1848,andrew,andrew,andrew,andrew
1849,signin,sign,signing,NA
1850,lala,ala,NA,NA
1851,rory,rosy,NA,NA
1852,idek,idea,ides,NA
1853,mewah,mew,mew,NA
1854,sian,asian,san,NA
1855,le,lee,lee,lee
1856,lah,lash,law,law
1857,ytd,yard,yet,dad
1858,isit,visit,NA,NA
1859,everbody,everybody,everybody,everybody
1860,bohot,boot,boot,NA
1861,mazak,muzak,muzak,muzak
1862,uda,gouda,utah,utah
1863,li,lid,lie,lie
1864,ki,kid,NA,NA
1865,oh,oh,oh,oh
1866,meser,maser,maser,maser
1867,shmit,submit,summit,NA
1868,piqaisa,NA,NA,NA
1869,waty,warty,watt,watt
1870,ghad,gad,gad,NA
1871,ashley,ashy,NA,NA
1872,grene,gene,NA,crane
1873,paolo,polo,polo,polo
1874,nutini,nautili,NA,NA
1875,mornin,morn,morning,NA
1876,sugah,sugar,such,NA
1877,daim,dam,dam,dam
1878,arkandayiz,NA,NA,NA
1879,kimis,kiwis,kings,NA
1880,wab,swab,web,web
1881,waow,wallow,wow,wow
1882,bestfriends,befriends,NA,NA
1883,henry,henry,henry,henry
1884,choco,chock,chock,chock
1885,uber,tuber,NA,NA
1886,tara,tiara,tiara,tar
1887,maki,magi,magi,make
1888,mamaya,maya,mama,NA
1889,cliford,NA,NA,NA
1890,popsicle,possible,NA,NA
1891,snl,snail,snail,snail
1892,kym,gym,NA,cam
1893,uko,ufo,uke,uke
1894,problema,problem,problem,problem
1895,mga,mega,mega,mega
1896,tao,to,to,to
1897,izie,ice,ice,ice
1898,vc,van,veg,veg
1899,topo,to,top,top
1900,clasificados,NA,NA,NA
1901,apu,ape,ape,ape
1902,kanuku,NA,NA,NA
1903,theriyadhudioi,NA,NA,NA
1904,vare,are,vary,vary
1905,siva,diva,NA,NA
1906,ohoi,oh,oh,ohio
1907,mei,me,me,me
1908,shuo,shoo,shoo,shoo
1909,weibo,weirdo,web,web
1910,exoms,exams,exams,exams
1911,tmr,mr,NA,NA
1912,yay,yak,yaw,yaw
1913,b,be,be,be
1914,jane,jade,june,june
1915,thundercat,thunderclap,thunderclap,NA
1916,tomar,tomato,toner,tamer
1917,spongebob,NA,NA,NA
1918,work,work,work,work
1919,diba,diva,diva,dab
1920,jkasb,jab,NA,NA
1921,sinatra,sumatra,sumatra,NA
1922,frigin,frigid,NA,NA
1923,hm,hmm,hmm,hmm
1924,livin,living,liven,liven
1925,catfished,catfish,catfish,NA
1926,frivgawd,NA,NA,NA
1927,pre,pre,pre,pre
1928,hanah,hand,hanoi,hanoi
1929,readgivert,NA,NA,NA
1930,gue,glue,guy,guy
1931,kenal,penal,kennel,kennel
1932,sein,seine,seine,seine
1933,wh,who,who,who
1934,by,by,by,by
1935,sinyao,sinai,sinai,NA
1936,kuala,koala,koala,koala
1937,lumpur,lumpier,lumpier,lumpier
1938,malaysia,malaysia,malaysia,malaysia
1939,thay,thy,thy,thy
1940,jongin,join,NA,NA
1941,baeks,backs,backs,backs
1942,kyungsos,NA,NA,NA
1943,nicur,nicer,nicer,NA
1944,alomo,aloe,alone,alum
1945,kush,bush,NA,gush
1946,ini,mini,in,in
1947,folback,fullback,fullback,fullback
1948,yixing,fixing,NA,NA
1949,sachin,shin,NA,NA
1950,tendulkar,NA,NA,NA
1951,maharashtra,NA,NA,NA
1952,m,me,me,me
1953,wizkid,whizzkid,whizzkid,whizzkid
1954,davido,david,david,david
1955,favour,favour,favour,favour
1956,decima,decimal,NA,NA
1957,oblock,block,NA,NA
1958,yu,you,you,you
1959,otl,oil,NA,NA
1960,etiene,ethane,ethane,NA
1961,francey,france,france,france
1962,aready,already,NA,NA
1963,bea,bead,beau,beau
1964,austin,austria,auction,NA
1965,mahone,mane,mane,NA
1966,johnson,NA,NA,NA
1967,ojt,oat,oast,NA
1968,o,of,oh,oh
1969,logitech,NA,NA,NA
1970,playstation,plantation,NA,NA
1971,playsta,plays,NA,NA
1972,retarted,restarted,retarded,retarded
1973,dum,drum,dam,dumb
1974,uhm,ohm,NA,NA
1975,nothin,nothing,NA,NA
1976,nikaz,NA,NA,NA
1977,ah,ah,ah,ah
1978,ug,bug,us,NA
1979,australi,austral,austral,austral
1980,atleast,least,atlas,NA
1981,icarly,icily,NA,NA
1982,kdrama,drama,NA,NA
1983,ibu,ibex,if,NA
1984,nenek,neck,nines,NA
1985,ikuti,NA,NA,NA
1986,biore,bore,bore,bore
1987,karebosi,NA,NA,NA
1988,askin,asking,akin,NA
1989,reavis,reads,reaps,revs
1990,blakely,blackly,blackly,blackly
1991,smc,sac,NA,NA
1992,thas,thaws,thaws,thaws
1993,falin,falcon,fallen,fallen
1994,flipin,flip,flipping,NA
1995,colour,colour,colour,colour
1996,gery,germ,gory,NA
1997,carol,carol,carol,carol
1998,belfast,belfast,belfast,belfast
1999,ache,ache,ache,ache
2000,a,aga,ah,ah
2001,rahe,race,NA,NA
2002,hain,chain,NA,NA
2003,scoty,scot,scot,scot
2004,yuh,huh,NA,NA
2005,actin,acting,acting,NA
2006,groupy,group,group,group
2007,shap,shape,shape,shape
2008,quate,equate,quite,quite
2009,jgn,john,john,jaw
2010,ngert,pert,NA,NA
2011,uae,uke,NA,NA
2012,wal,wall,wall,wall
2013,delhi,delhi,delhi,delhi
2014,dmu,mu,dam,dam
2015,dli,deli,deli,deli
2016,bo,boo,boo,boo
2017,grenle,grenade,granule,granule
2018,wsr,war,NA,sir
2019,nonos,noses,noons,noons
2020,ofseason,season,NA,NA
2021,goku,go,goes,NA
2022,dragonboty,NA,NA,NA
2023,convo,convoy,convoy,convoy
2024,prego,presto,press,prig
2025,northside,NA,NA,NA
2026,crk,cork,cork,cork
2027,shadeland,NA,NA,NA
2028,bitchin,bitching,bitching,NA
2029,bitchez,bitches,bitches,bitches
2030,somethin,something,something,NA
2031,rewatching,rematching,NA,NA
2032,ema,edema,em,em
2033,cv,cab,cab,cave
2034,infact,infarct,infect,infect
2035,bein,begin,ben,ben
2036,xrated,rated,NA,NA
2037,everytime,overtime,NA,NA
2038,yowapedal,NA,NA,NA
2039,yaoipedal,NA,NA,NA
2040,fuack,flack,face,NA
2041,unfolowers,sunflowers,NA,NA
2042,dapatkan,NA,NA,NA
2043,hinga,hinge,hinge,NA
2044,setiap,setup,setup,NA
2045,hari,hard,hare,hare
2046,disini,dining,NA,NA
2047,eric,erica,erica,erica
2048,stonestret,NA,NA,NA
2049,biryhday,birthday,birthday,NA
2050,rizhal,rial,NA,NA
2051,rizky,risky,risky,risky
2052,dgift,gift,NA,gift
2053,loveyou,NA,NA,NA
2054,seley,select,sell,sell
2055,waverly,waver,NA,NA
2056,al,all,all,all
2057,gim,glim,gem,gem
2058,mami,miami,miami,miami
2059,barao,bar,bar,bar
2060,dilashaw,NA,NA,NA
2061,wrked,worked,worked,NA
2062,pikachu,NA,NA,NA
2063,pak,pack,pack,pack
2064,ebay,bay,NA,NA
2065,usd,used,used,used
2066,yanish,banish,NA,NA
2067,lebrons,lemons,NA,NA
2068,laughin,laughing,NA,NA
2069,shoulda,should,should,should
2070,tinys,tins,tins,tins
2071,ugh,bough,us,NA
2072,fernando,NA,NA,NA
2073,tores,tories,tories,tories
2074,liverpol,NA,NA,NA
2075,steven,seven,NA,NA
2076,gerard,guard,NA,NA
2077,reveale,revealed,reveal,reveal
2078,meri,merit,mere,mere
2079,dvd,dad,NA,NA
2080,tujhe,the,touche,NA
2081,bhej,be,beg,NA
2082,bhai,thai,baa,NA
2083,gemorning,morning,NA,NA
2084,dil,dill,dill,dill
2085,chahta,chacha,chat,chat
2086,sydney,sydney,sydney,sydney
2087,mdm,mom,madam,madam
2088,lim,lima,lima,lima
2089,jn,an,NA,NA
2090,muahaha,NA,NA,NA
2091,beatin,beating,beaten,beaten
2092,beta,beta,beta,beta
2093,lache,laches,lace,NA
2094,meimei,mime,mime,mime
2095,mwahaha,NA,NA,NA
2096,virginia,virginia,virginia,virginia
2097,desabafa,NA,NA,NA
2098,deus,dens,dews,dews
2099,ele,elbe,ell,ell
2100,entende,entente,entente,entente
2101,nibo,nib,nib,nib
2102,omeruo,overdo,NA,NA
2103,fnk,funk,funk,funk
2104,smtownengsub,NA,NA,NA
2105,paton,patron,paten,paten
2106,bogs,bogs,bogs,bogs
2107,businesnews,businesses,businesses,NA
2108,atlanta,atlanta,atlanta,atlanta
2109,ewnjap,NA,NA,NA
2110,apink,pink,aping,aping
2111,eunji,ennui,NA,NA
2112,kb,kerb,NA,cab
2113,brodcast,broadcast,broadcast,broadcast
2114,folie,foliage,folio,folio
2115,whatz,what,NA,NA
2116,aishwarya,NA,NA,NA
2117,rai,raid,raw,raw
2118,defo,deco,defy,defy
2119,know,know,know,know
2120,eun,eon,eon,eon
2121,quare,square,quire,quire
2122,craic,critic,crag,crag
2123,tgi,taxi,taxi,NA
2124,wokingham,NA,NA,NA
2125,tory,tory,tory,tory
2126,wea,weak,we,we
2127,afgan,afghan,afghan,NA
2128,sunod,synod,synod,synod
2129,kong,kongo,kongo,kongo
2130,babasahin,NA,NA,NA
2131,mina,mica,mine,mine
2132,esguera,NA,NA,NA
2133,thoe,those,the,the
2134,theyr,they,their,their
2135,fucjing,fuming,fusing,NA
2136,tasha,task,task,dacha
2137,xbox,box,NA,NA
2138,gamertag,NA,NA,NA
2139,bota,biota,biota,biota
2140,esquisito,exquisite,exquisite,NA
2141,niso,no,nice,nice
2142,tuscany,tuscany,tuscany,tuscany
2143,alesandro,NA,NA,NA
2144,fereti,ferret,ferret,ferret
2145,nighas,nights,niches,NA
2146,xiumin,NA,NA,NA
2147,wre,ware,ware,re
2148,talkn,talk,NA,NA
2149,glesh,flesh,NA,clash
2150,kef,keg,keep,NA
2151,diwn,din,din,din
2152,lmfao,NA,NA,NA
2153,yelin,myelin,NA,NA
2154,belo,below,below,below
2155,mbeya,maya,NA,NA
2156,yatinga,bating,NA,NA
2157,robo,robot,rob,rob
2158,fainal,final,final,final
2159,ryeowok,NA,NA,NA
2160,mumbai,mumble,mamba,mamba
2161,suprised,surprised,NA,NA
2162,namo,dynamo,name,name
2163,suprise,surprise,NA,NA
2164,vacations,vacations,vacations,vacations
2165,cowok,cook,cook,NA
2166,keren,keen,NA,NA
2167,stans,stains,stains,stains
2168,putangina,NA,NA,NA
2169,hahahsahahaha,NA,NA,NA
2170,right,right,right,right
2171,na,nab,nay,nay
2172,stc,sac,NA,NA
2173,fckn,fan,NA,NA
2174,tofe,toe,tofu,tofu
2175,voral,oral,viral,viral
2176,utica,mica,NA,NA
2177,vut,vat,vat,vat
2178,polis,polish,polish,poles
2179,kahkahkah,NA,NA,NA
2180,snapchated,NA,NA,NA
2181,luna,luna,luna,luna
2182,colombiana,NA,NA,NA
2183,dotacion,donation,NA,NA
2184,ani,anil,an,an
2185,ngalong,singalong,NA,NA
2186,yesh,yes,yes,NA
2187,voy,vow,vow,vow
2188,matar,mar,mater,mater
2189,godevening,midevening,NA,NA
2190,spongbob,NA,NA,NA
2191,mewtwo,metro,NA,NA
2192,childrens,children,children,NA
2193,yor,yore,yore,yore
2194,fakin,faking,NA,NA
2195,jands,janus,NA,NA
2196,depok,depot,depose,NA
2197,lovatics,lunatics,NA,NA
2198,pasukan,NA,NA,NA
2199,puyat,pat,pat,NA
2200,justunfolow,NA,NA,NA
2201,tunein,tune,tannin,tannin
2202,winamp,wimp,NA,NA
2203,pe,pea,pea,pea
2204,righ,right,rig,NA
2205,navier,navies,NA,NA
2206,eyewear,NA,NA,NA
2207,vladimir,NA,NA,NA
2208,putin,pectin,paten,paten
2209,selamat,seaman,NA,NA
2210,pagi,page,page,page
2211,lewl,lewd,NA,NA
2212,lolol,loll,NA,NA
2213,seperate,separate,separate,separate
2214,nat,nato,nato,nato
2215,ola,bola,ole,ole
2216,fifa,fife,fife,fife
2217,olodum,NA,NA,NA
2218,cracknel,cracked,NA,NA
2219,paty,party,peaty,peaty
2220,keny,kenya,kenya,ken
2221,bautizo,NA,NA,NA
2222,jose,joke,joke,NA
2223,pickney,cockney,NA,NA
2224,nuh,nu,nu,nu
2225,lik,lick,lick,lick
2226,carfax,carat,NA,NA
2227,hapend,hand,happened,happened
2228,tila,attila,tile,tile
2229,manam,madam,NA,NA
2230,wos,woos,woos,woos
2231,nagarjuna,NA,NA,NA
2232,garu,garb,guru,guru
2233,busog,bog,buses,busk
2234,naman,norman,NA,NA
2235,talaga,alga,NA,NA
2236,texas,texas,texas,texas
2237,dems,deems,deems,deems
2238,kesha,kenya,NA,NA
2239,squaded,squad,shaded,scudded
2240,balin,baling,baleen,baleen
2241,jai,jail,jaw,jaw
2242,glamorgan,NA,NA,NA
2243,leicestershire,NA,NA,NA
2244,ne,ne,ne,ne
2245,akademiks,academics,academics,academics
2246,avirex,aire,NA,NA
2247,dada,dad,dad,dad
2248,lrg,lag,NA,NA
2249,ecko,gecko,echo,NA
2250,brokfield,NA,NA,NA
2251,lockdown,NA,NA,NA
2252,cartier,carter,carter,carter
2253,luchese,lunches,laches,laches
2254,omg,omen,omega,omega
2255,werent,went,weren't,weren't
2256,rcg,rag,rag,NA
2257,jonghyun,NA,NA,NA
2258,pala,pal,pal,pal
2259,liro,lido,lira,lira
2260,lirobel,libel,NA,NA
2261,stacy,stay,stack,NA
2262,keibler,killer,NA,NA
2263,babymon,babylon,NA,NA
2264,jared,jarred,jarred,jarred
2265,pobre,pore,NA,NA
2266,bindi,bind,bind,bind
2267,hibert,inert,NA,NA
2268,respondo,respond,respond,respond
2269,sigo,sago,sago,sago
2270,ibn,ibsen,NA,NA
2271,batuta,batty,NA,NA
2272,ik,ilk,is,NA
2273,hbo,hobo,hobo,hobo
2274,complaing,complain,complain,compiling
2275,ela,elal,ell,ell
2276,falava,lava,NA,NA
2277,anotava,NA,NA,NA
2278,procurava,NA,NA,NA
2279,myself,myself,myself,myself
2280,thatsojacks,NA,NA,NA
2281,tove,trove,to've,to've
2282,bequnique,NA,NA,NA
2283,ukg,uke,uke,NA
2284,bukake,bake,NA,NA
2285,rio,riot,rho,ria
2286,hamasaki,nagasaki,NA,NA
2287,spr,spar,spar,spar
2288,mgmt,mat,NA,NA
2289,hernan,heman,NA,NA
2290,cataneo,castanet,NA,NA
2291,wmc,we,NA,mac
2292,snuck,suck,snack,snack
2293,letso,lets,lets,lets
2294,kgm,am,ken,NA
2295,totenham,NA,NA,NA
2296,whl,wheel,wheel,wheel
2297,tomoro,tomorrow,tomorrow,tomorrow
2298,ctfu,tofu,NA,NA
2299,ano,anon,an,an
2300,tpos,sos,tabs,taps
2301,diretso,direst,dirts,dirts
2302,ulit,unlit,NA,NA
2303,somtimes,sometimes,sometimes,sometimes
2304,sepatu,seat,spat,spat
2305,rb,rib,rib,rib
2306,wic,wick,wick,wick
2307,ohgosh,gosh,NA,NA
2308,croker,choker,NA,NA
2309,cute,cute,cute,cute
2310,shesh,sheath,sheikh,NA
2311,steve,sieve,stave,stave
2312,edie,die,NA,NA
2313,brickel,bricked,NA,NA
2314,cdvd,cad,NA,NA
2315,cahil,call,call,NA
2316,thibaut,NA,NA,NA
2317,courtois,courts,courts,courts
2318,masuk,mask,NA,mask
2319,dalam,dam,NA,NA
2320,botwe,bottle,bode,NA
2321,kora,koran,korea,korea
2322,mtchw,macaw,match,match
2323,emilys,emirs,NA,NA
2324,nbd,nod,NA,NA
2325,zack,back,NA,sack
2326,incheon,luncheon,NA,NA
2327,lamiel,label,lamely,lamely
2328,simbora,signora,NA,NA
2329,gente,gentle,gent,gent
2330,congratz,NA,NA,NA
2331,sakelah,NA,NA,NA
2332,kuy,key,key,key
2333,erat,eat,NA,aerate
2334,muka,mu,mug,mug
2335,banga,bang,bang,bang
2336,pegang,pegging,pegging,peking
2337,thomas,thomas,thomas,thomas
2338,maklumlah,NA,NA,NA
2339,bcos,boos,NA,bags
2340,whitepaper,wastepaper,NA,NA
2341,sl,sly,sly,sly
2342,knoxvile,NA,NA,NA
2343,noteven,nonevent,NA,NA
2344,gb,gab,gab,gab
2345,gsm,gem,gem,NA
2346,mobilepros,NA,NA,NA
2347,waka,wake,wake,wake
2348,reup,rep,rep,rep
2349,niqa,nib,nice,nick
2350,unhuh,uhuh,NA,NA
2351,divs,divas,divas,divas
2352,florbal,floral,NA,NA
2353,ramos,rams,rams,rams
2354,giroud,gird,gird,gird
2355,crien,cried,cran,cran
2356,tiwa,tiara,tea,two
2357,fantaken,partaken,NA,NA
2358,mino,minor,mine,mine
2359,aon,aeon,aeon,an
2360,zi,zig,NA,NA
2361,luvely,lively,lively,lively
2362,donzel,dowel,NA,NA
2363,hati,haiti,haiti,haiti
2364,fk,flak,fag,fag
2365,ned,need,need,need
2366,camila,camera,camel,camel
2367,funaki,fungi,fungi,funk
2368,dinahs,dinars,NA,NA
2369,rinatauveli,NA,NA,NA
2370,vids,voids,voids,voids
2371,hey,hey,hey,hey
2372,comin,coming,NA,NA
2373,swetface,NA,NA,NA
2374,shriya,shriek,syria,NA
2375,hot,hot,hot,hot
2376,ihavnt,havent,NA,NA
2377,cx,cox,caw,cox
2378,undestanrd,understand,NA,NA
2379,nyanyi,NA,NA,NA
2380,balot,ballot,ballot,ballot
2381,weve,weave,weave,weave
2382,sourires,sources,NA,NA
2383,contagieux,contagious,contagious,NA
2384,ptr,par,NA,NA
2385,roland,poland,NA,NA
2386,emerich,enrich,enrich,NA
2387,stargate,stargaze,stargaze,NA
2388,upsc,ups,ups,NA
2389,chat,chat,chat,chat
2390,boro,boron,bore,bore
2391,eka,eke,eke,eke
2392,lage,lager,lag,NA
2393,chowringhe,NA,NA,NA
2394,whataburger,NA,NA,NA
2395,bf,be,be,NA
2396,hini,hi,him,hanoi
2397,mron,moron,moron,moron
2398,guide,guide,guide,guide
2399,ots,oats,oats,oats
2400,shiavi,shave,shave,shave
2401,sory,sorry,sorry,sorry
2402,refaeli,refuel,refuel,refuel
2403,grimie,grime,grime,grime
2404,kenedy,kennedy,kennedy,kennedy
2405,nomi,naomi,naomi,naomi
2406,akansha,NA,NA,NA
2407,gautam,bantam,NA,NA
2408,px,pox,pox,pox
2409,welp,whelp,whelp,whelp
2410,fone,foe,fine,fine
2411,htc,hic,hats,NA
2412,hd,had,had,had
2413,keinget,NA,NA,NA
2414,sama,samba,samoa,samoa
2415,kenangan,NA,NA,NA
2416,alm,alms,alum,alum
2417,bikin,biking,bikini,bikini
2418,mata,malta,mat,mat
2419,netes,nets,nets,nets
2420,colin,coin,colon,colon
2421,bandana,bandanna,bandanna,bandanna
2422,sexey,sexy,sexy,sexy
2423,yon,yon,yon,yon
2424,compton,common,NA,NA
2425,chiraq,chiral,NA,NA
2426,tomlinson,NA,NA,NA
2427,asdfghjkl,NA,NA,NA
2428,feli,fell,fell,fell
2429,manmohan,NA,NA,NA
2430,va,van,via,via
2431,explotar,exploder,exploder,exploder
2432,cabeza,cadenza,NA,NA
2433,lmbo,limbo,limbo,limbo
2434,dropin,drop,drooping,NA
2435,walang,walking,walling,walling
2436,basta,bastard,baste,baste
2437,iphone,phone,NA,NA
2438,lansi,land,lank,lance
2439,lanyong,lancing,NA,NA
2440,gojira,NA,NA,NA
2441,rela,relax,relay,relay
2442,sukarelawan,NA,NA,NA
2443,nkansah,NA,NA,NA
2444,ryt,rat,rat,rat
2445,american,american,american,american
2446,humour,humour,humour,humour
2447,buat,bat,bat,bat
2448,yoara,yoga,yore,yore
2449,sumlin,stalin,NA,NA
2450,agies,ages,ages,ages
2451,helup,help,help,help
2452,sendo,send,send,send
2453,calin,calvin,NA,NA
2454,chayse,chase,chase,chase
2455,wiz,wig,wig,NA
2456,hav,have,have,have
2457,gema,gem,gem,gem
2458,macklemores,NA,NA,NA
2459,whut,hut,what,what
2460,thys,thy,this,this
2461,ryte,rye,rate,rate
2462,auro,afro,aura,aura
2463,spoilt,spoilt,spoilt,spoilt
2464,diecast,recast,NA,NA
2465,eliot,elicit,elide,elide
2466,sadlers,saddlers,saddlers,saddlers
2467,dnp,dip,damp,NA
2468,giva,give,give,give
2469,bxtch,batch,NA,NA
2470,highschol,NA,NA,NA
2471,kina,kina,kina,kina
2472,tarus,tarsus,tars,tars
2473,riley,rile,rile,rile
2474,ridim,rim,radium,radium
2475,jukebox,jukebox,jukebox,jukebox
2476,spiderman,epidermal,NA,NA
2477,always,always,always,always
2478,iflostreturntoawesome,NA,NA,NA
2479,homestuck,homesick,NA,NA
2480,equius,equips,NA,NA
2481,nepeta,peseta,NA,NA
2482,pickins,pickings,pickings,NA
2483,podunkvile,NA,NA,NA
2484,misyou,NA,NA,NA
2485,comeing,coming,coming,coming
2486,cmon,common,common,common
2487,psar,par,NA,NA
2488,mlm,mom,NA,NA
2489,tluk,auk,talk,talk
2490,kmbaq,kebab,NA,NA
2491,baq,baa,bag,bag
2492,hg,hag,hag,hag
2493,kate,skate,kite,kite
2494,pedroia,persia,NA,NA
2495,pornstarinthemaking,NA,NA,NA
2496,tobi,toby,toby,toby
2497,jaylen,fallen,NA,NA
2498,hatake,hake,NA,NA
2499,kakashi,NA,NA,NA
2500,sharingone,NA,NA,NA
2501,madara,mara,madeira,madeira
2502,tyneteswear,NA,NA,NA
2503,technip,NA,NA,NA
2504,tyneside,NA,NA,NA
2505,charlet,chalet,NA,NA
2506,akwa,aga,aga,NA
2507,ibom,idiom,NA,NA
2508,cano,canoe,canoe,canoe
2509,cristales,crystals,crystals,crystals
2510,colombia,NA,NA,NA
2511,tiard,tiara,third,shard
2512,ongc,on,once,NA
2513,palar,palaver,paler,paler
2514,tupac,tunic,topic,topic
2515,amaru,amass,amir,amir
2516,shakur,shaker,shaker,shaker
2517,sory,sorry,sorry,sorry
2518,bk,back,back,back
2519,cac,cab,NA,NA
2520,gts,gets,gets,guts
2521,bulsh,bullish,bullish,bullish
2522,taeny,tawny,tawny,tawny
2523,taenygenie,NA,NA,NA
2524,chewin,chewing,chain,NA
2525,irudfkjlc,NA,NA,NA
2526,kuya,kenya,key,NA
2527,yany,any,NA,NA
2528,gigil,gill,giggle,NA
2529,bugoy,buoy,buggy,bug
2530,farah,farad,far,far
2531,haha,haha,haha,haha
2532,hoho,ho,ho,haha
2533,jesy,jest,NA,NA
2534,unie,unite,NA,NA
2535,roko,roo,roc,roc
2536,colectable,collectable,collectable,collectable
2537,lighte,lighted,light,light
2538,calc,calf,NA,NA
2539,lang,clang,lank,lank
2540,aso,also,as,as
2541,andrei,andrew,andrew,andrew
2542,air,air,air,air
2543,snsd,sad,sensed,sensed
2544,ey,eye,eye,eh
2545,hahah,haha,haha,haha
2546,guydirectioners,NA,NA,NA
2547,big,big,big,big
2548,photoshop,NA,NA,NA
2549,pouya,pour,NA,NA
2550,wilie,wilier,wile,wile
2551,kau,tau,key,key
2552,cakap,cap,NA,NA
2553,padahal,paschal,NA,NA
2554,stopid,stolid,stupid,stupid
2555,angelina,angelica,angelica,NA
2556,jolie,jollier,jolly,jolly
2557,ele,elbe,ell,ell
2558,ke,keg,key,key
2559,iont,ion,NA,NA
2560,sjmthanks,NA,NA,NA
2561,hyuk,auk,hack,NA
2562,swifties,swifts,swifts,swifts
2563,thankies,hankies,NA,NA
2564,altaf,altar,NA,NA
2565,husain,human,NA,NA
2566,uh,huh,NA,NA
2567,btob,bob,NA,NA
2568,bst,best,best,best
2569,dublin,dublin,dublin,dublin
2570,markus,markups,NA,marks
2571,citi,cite,cite,cite
2572,louie,louis,lie,lie
2573,dreamin,dreaming,dreaming,NA
2574,romo,rom,rom,rom
2575,dez,deb,daze,daze
2576,kaitlyn,NA,NA,NA
2577,bsck,back,back,NA
2578,farhan,farad,NA,NA
2579,ahmad,ahead,NA,NA
2580,nizami,miami,NA,NA
2581,muslim,muslim,muslim,muslim
2582,pic,pica,pica,pica
2583,blono,blond,NA,NA
2584,ridin,riding,ridden,ridden
2585,goti,got,got,got
2586,yadong,dong,NA,NA
2587,yuri,yeti,yore,yore
2588,kmsl,keel,NA,NA
2589,bitxh,bitch,bitch,NA
2590,thankiu,thanking,thank,thank
2591,lols,lls,NA,NA
2592,vespa,spa,NA,NA
2593,eijk,elk,NA,NA
2594,nt,net,net,net
2595,bats,bats,bats,bats
2596,aviationrelated,NA,NA,NA
2597,chong,choking,cuing,chink
2598,wei,weir,we,we
2599,kyrie,curie,NA,curie
2600,irving,irking,NA,NA
2601,jackson,jacks,NA,NA
2602,michel,mice,NA,NA
2603,gondry,gory,gantry,gantry
2604,anderson,NA,NA,NA
2605,tonite,aconite,NA,donate
2606,telin,myelin,talon,talon
2607,stephenson,NA,NA,NA
2608,afg,aft,NA,NA
2609,vega,vegan,veg,veg
2610,hala,ala,hale,hale
2611,kokane,koran,NA,NA
2612,hoagy,hoary,hazy,NA
2613,rugi,rug,rug,rage
2614,ak,ark,ask,auk
2615,strt,start,start,start
2616,birmz,biz,NA,NA
2617,liga,ligand,lice,lick
2618,eurovision,provision,NA,NA
2619,austria,austria,austria,austria
2620,fulham,NA,NA,NA
2621,facup,teacup,NA,NA
2622,england,england,england,england
2623,congis,corgis,congest,NA
2624,kejriwal,NA,NA,NA
2625,segundon,NA,NA,NA
2626,agaro,agar,agar,agar
2627,wilo,wild,wile,wile
2628,tipa,tip,tip,tip
2629,pmsl,pal,NA,NA
2630,starin,staring,staring,NA
2631,han,hand,ham,hen
2632,shyad,sad,sad,NA
2633,khar,khan,NA,NA
2634,chezy,chewy,cheeky,cheesy
2635,experiance,experience,experience,experience
2636,nah,noah,noah,noah
2637,amfufu,NA,NA,NA
2638,akong,along,aging,NA
2639,berylicious,NA,NA,NA
2640,megamal,NA,NA,NA
2641,anton,canton,NA,NA
2642,diaz,dial,daze,daze
2643,brazil,brazil,brazil,brazil
2644,ikr,id,NA,NA
2645,indy,windy,india,india
2646,rc,roc,roc,roc
2647,alfie,ale,alive,alive
2648,stan,satan,satan,satan
2649,perf,per,NA,NA
2650,kisn,kin,NA,NA
2651,hapy,happy,happy,happy
